"place"
"near the north coast of New Guinea, Papua New Guinea"
"Vanuatu"
"Vanuatu"
"San Juan, Argentina"
"Tonga"
"Volcano Islands, Japan region"
"north of Ascension Island"
"near the coast of central Peru"
"South Sandwich Islands region"
"Fiji region"
"southeast of the Loyalty Islands"
"Sichuan-Yunnan border region, China"
"Taiwan region"
"South Sandwich Islands region"
"South Sandwich Islands region"
"southeast of the Loyalty Islands"
"Halmahera, Indonesia"
"southeast of the Loyalty Islands"
"Tonga region"
"eastern Turkey"
"eastern Turkey"
"Molucca Sea"
"southeast of the Loyalty Islands"
"173km SE of Estacion Coahuila, B.C., MX"
"south of the Aleutian Islands"
"Pakistan"
"Pakistan"
"Fiji region"
"Komandorskiye Ostrova, Russia region"
"southwestern Ryukyu Islands, Japan"
"Rat Islands, Aleutian Islands, Alaska"
"Taiwan region"
"Nepal-India border region"
"Banda Sea"
"Solomon Islands"
"Solomon Islands"
"Santa Cruz Islands"
"Vanuatu region"
"State of Yap, Federated States of Micronesia"
"near the coast of central Peru"
"Hindu Kush region, Afghanistan"
"Macquarie Island region"
"Mariana Islands region"
"Andreanof Islands, Aleutian Islands, Alaska"
"east of the Kuril Islands"
"Taiwan region"
"New Britain region, Papua New Guinea"
"central Peru"
"Sulawesi, Indonesia"
"Sulawesi, Indonesia"
"Kodiak Island region, Alaska"
"Araucania, Chile"
"Coquimbo, Chile"
"near the east coast of the Kamchatka Peninsula, Russia"
"southeast Indian Ridge"
"Taiwan region"
"Hebei, China"
"Hebei, China"
"Lake Edward region, Congo-Uganda"
"Fiji region"
"Taiwan region"
"Molucca Sea"
"Vanuatu"
"Hebei, China"
"western Xizang"
"western Xizang"
"New Britain region, Papua New Guinea"
"Mid-Indian Ridge"
"Vanuatu"
"Mariana Islands region"
"South Sandwich Islands region"
"Pakistan"
"Pakistan"
"Yunnan, China"
"Greece"
"Vanuatu"
"south of Alaska"
"Fiji region"
"Kodiak Island region, Alaska"
"Panama"
"Fiji region"
"Guerrero, Mexico"
"eastern New Guinea region, Papua New Guinea"
"off the coast of Jalisco, Mexico"
"Aisen, Chile"
"Celebes Sea"
"Banda Sea"
"Fiji region"
"central Mid-Atlantic Ridge"
"northern Xinjiang, China"
"Izu Islands, Japan region"
"Easter Island region"
"Easter Island region"
"Peru-Brazil border region"
"Hokkaido, Japan region"
"Near Islands, Aleutian Islands, Alaska"
"Kepulauan Obi, Indonesia"
"Vanuatu region"
"south of the Aleutian Islands"
"Gulf of Alaska"
"Kermadec Islands region"
"near the east coast of Honshu, Japan"
"Ryukyu Islands, Japan"
"near the east coast of Honshu, Japan"
"Ecuador"
"West Chile Rise"
"Chagos Archipelago region"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"off the coast of Central America"
"Kodiak Island region, Alaska"
"Oaxaca, Mexico"
"south of the Fiji Islands"
"Oruro, Bolivia"
"Banda Sea"
"Vanuatu"
"northern Sumatra, Indonesia"
"central Mid-Atlantic Ridge"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"New Britain region, Papua New Guinea"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"Vanuatu"
"New Britain region, Papua New Guinea"
"Macquarie Island region"
"Fox Islands, Aleutian Islands, Alaska"
"Bougainville region, Papua New Guinea"
"Greece"
"Fox Islands, Aleutian Islands, Alaska"
"Pacific-Antarctic Ridge"
"Southern Alaska"
"Kodiak Island region, Alaska"
"Mindanao, Philippines"
"Vanuatu region"
"Hokkaido, Japan region"
"Kuril Islands"
"Kuril Islands"
"Fiji region"
"Vanuatu"
"Taiwan region"
"Banda Sea"
"Kyrgyzstan-Xinjiang border region"
"Seattle-Tacoma urban area, Washington"
"Crete, Greece"
"Taiwan region"
"South Sandwich Islands region"
"South Sandwich Islands region"
"Vanuatu region"
"Fiji region"
"Crete, Greece"
"Near Islands, Aleutian Islands, Alaska"
"Minahasa, Sulawesi, Indonesia"
"southern Greece"
"Greece"
"Rat Islands, Aleutian Islands, Alaska"
"near the east coast of Honshu, Japan"
"Valparaiso, Chile"
"Tonga"
"offshore Coquimbo, Chile"
"Tonga"
"Kepulauan Sula, Indonesia"
"Tonga"
"off the east coast of Honshu, Japan"
"Hindu Kush region, Afghanistan"
"Aegean Sea"
"Near Islands, Aleutian Islands, Alaska"
"New Britain region, Papua New Guinea"
"Near Islands, Aleutian Islands, Alaska"
"New Britain region, Papua New Guinea"
"near the coast of Antofagasta, Chile"
"south of Alaska"
"Rat Islands, Aleutian Islands, Alaska"
"south of Alaska"
"Near Islands, Aleutian Islands, Alaska"
"Near Islands, Aleutian Islands, Alaska"
"Near Islands, Aleutian Islands, Alaska"
"Rat Islands, Aleutian Islands, Alaska"
"Rat Islands, Aleutian Islands, Alaska"
"western Indian-Antarctic Ridge"
"Kepulauan Sula, Indonesia"
"Vanuatu"
"Tonga"
"south of the Fiji Islands"
"Bouvet Island region"
"near the west coast of Honshu, Japan"
"Santiago Del Estero, Argentina"
"New Britain region, Papua New Guinea"
"Mid-Indian Ridge"
"Nicobar Islands, India region"
"Taiwan"
"Catanduanes, Philippines"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"New Britain region, Papua New Guinea"
"Auckland Islands, New Zealand region"
"northern Sumatra, Indonesia"
"southeast Indian Ridge"
"North Atlantic Ocean"
"eastern Xizang-India border region"
"Banda Sea"
"Carlsberg Ridge"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Easter Island region"
"Sulawesi, Indonesia"
"western Turkey"
"southeast of Easter Island"
"Solomon Islands"
"Nicobar Islands, India region"
"off the west coast of the South Island of New Zealand"
"near the north coast of New Guinea, Papua New Guinea"
"Bougainville region, Papua New Guinea"
"Ceram Sea, Indonesia"
"east of Severnaya Zemlya"
"New Britain region, Papua New Guinea"
"offshore Atacama, Chile"
"Bougainville region, Papua New Guinea"
"offshore Los Lagos, Chile"
"south of the Kermadec Islands"
"New Britain region, Papua New Guinea"
"Andaman Islands, India region"
"western Indian-Antarctic Ridge"
"Atacama, Chile"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"south of the Fiji Islands"
"Greece"
"Vanuatu"
"Tonga region"
"Banda Sea"
"Guerrero, Mexico"
"Gulf of California"
"Kuril Islands"
"Gulf of California"
"Sulawesi, Indonesia"
"New Ireland region, Papua New Guinea"
"Kuril Islands"
"near the west coast of Honshu, Japan"
"near the west coast of Honshu, Japan"
"near the west coast of Honshu, Japan"
"northern Sumatra, Indonesia"
"Kuril Islands"
"near the east coast of Honshu, Japan"
"South Sandwich Islands region"
"near the coast of Ecuador"
"northern Mid-Atlantic Ridge"
"Gulf of Alaska"
"south of the Kermadec Islands"
"Kodiak Island region, Alaska"
"near the west coast of Honshu, Japan"
"eastern Sea of Japan"
"Tanzania"
"Kuril Islands"
"west of Macquarie Island"
"Sunda Strait, Indonesia"
"New Guinea, Papua New Guinea"
"Kepulauan Kai, Indonesia"
"South Shetland Islands"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kuril Islands"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"northern Sumatra, Indonesia"
"Vancouver Island, Canada region"
"Gulf of Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Kenai Peninsula, Alaska"
"Southern Alaska"
"Southern Alaska"
"Kodiak Island region, Alaska"
"Kodiak Island region, Alaska"
"Minahasa, Sulawesi, Indonesia"
"Kenai Peninsula, Alaska"
"Kodiak Island region, Alaska"
"Gulf of Alaska"
"Kodiak Island region, Alaska"
"Gulf of Alaska"
"Kodiak Island region, Alaska"
"Southern Alaska"
"Banda Sea"
"Samoa Islands region"
"northwest of the Kuril Islands"
"Kuril Islands"
"Strait of Gibraltar"
"New Britain region, Papua New Guinea"
"Bismarck Sea"
"south of Alaska"
"Hindu Kush region, Afghanistan"
"southern Peru"
"Vanuatu"
"Myanmar-India border region"
"Vanuatu"
"Taiwan"
"Izu Islands, Japan region"
"Hokkaido, Japan region"
"Kuril Islands"
"Kuril Islands"
"south of Africa"
"Kuril Islands"
"South Sandwich Islands region"
"south of the Fiji Islands"
"Sunda Strait, Indonesia"
"Java Sea"
"southeast of Easter Island"
"Antofagasta, Chile"
"Baja California, Mexico"
"Baja California, Mexico"
"central Mid-Atlantic Ridge"
"Tonga region"
"Kuril Islands"
"Kuril Islands"
"Acre, Brazil"
"Peru-Brazil border region"
"Papua, Indonesia"
"Banda Sea"
"Peru-Ecuador border region"
"Tonga region"
"east of the Kuril Islands"
"east of the Kuril Islands"
"east of the Kuril Islands"
"Kuril Islands"
"Tajikistan"
"east of the Kuril Islands"
"east of the Kuril Islands"
"east of the Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Kuril Islands"
"Tonga"
"south of the Fiji Islands"
"Kyushu, Japan"
"near the coast of central Peru"
"western Turkey"
"Santa Cruz Islands"
"Santa Cruz Islands"
"Kermadec Islands region"
"New Britain region, Papua New Guinea"
"south of the Fiji Islands"
"Baffin Island region, Nunavut, Canada"
"off the coast of northern Peru"
"southern Xinjiang, China"
"off the coast of Aisen, Chile"
"Fiji region"
"Solomon Islands"
"Kyushu, Japan"
"southern Peru"
"near the east coast of Honshu, Japan"
"central Mid-Atlantic Ridge"
"Kermadec Islands, New Zealand"
"Kermadec Islands region"
"Kermadec Islands, New Zealand"
"west of Macquarie Island"
"Ligurian Sea"
"Ligurian Sea"
"Georgia (Sak'art'velo)"
"Kuril Islands"
"south of the Fiji Islands"
"Kuril Islands"
"Southern Alaska"
"Kepulauan Talaud, Indonesia"
"Pacific-Antarctic Ridge"
"west of Macquarie Island"
"west of Macquarie Island"
"Kepulauan Obi, Indonesia"
"east of the South Sandwich Islands"
"Kamchatka Peninsula, Russia"
"South Sandwich Islands region"
"Kuril Islands"
"Kermadec Islands, New Zealand"
"northern Mid-Atlantic Ridge"
"near the coast of Aisen, Chile"
"Peru-Ecuador border region"
"near the east coast of Honshu, Japan"
"Vanuatu"
"Kepulauan Obi, Indonesia"
"Rat Islands, Aleutian Islands, Alaska"
"southern Qinghai, China"
"south of the Fiji Islands"
"Kepulauan Obi, Indonesia"
"Halmahera, Indonesia"
"Papua, Indonesia"
"northern Peru"
"southern Sumatra, Indonesia"
"Kermadec Islands, New Zealand"
"New Britain region, Papua New Guinea"
"Kermadec Islands, New Zealand"
"Kuril Islands"
"Iceland region"
"western Honshu, Japan"
"Kermadec Islands, New Zealand"
"Kermadec Islands, New Zealand"
"Sumba region, Indonesia"
"east of the Kuril Islands"
"Taiwan region"
"off the coast of Aisen, Chile"
"Easter Island region"
"near the coast of northern Peru"
"Taiwan"
"New Britain region, Papua New Guinea"
"eastern New Guinea region, Papua New Guinea"
"near the north coast of New Guinea, Papua New Guinea"
"Kepulauan Barat Daya, Indonesia"
"Solomon Islands"
"Taiwan region"
"Araucania, Chile"
"northwest of the Ryukyu Islands, Japan"
"South Sandwich Islands region"
"Alaska Peninsula"
"New Ireland region, Papua New Guinea"
"Alaska Peninsula"
"Tarapaca, Chile"
"Komandorskiye Ostrova, Russia region"
"Fox Islands, Aleutian Islands, Alaska"
"south of Java, Indonesia"
"southeast of the Loyalty Islands"
"Fox Islands, Aleutian Islands, Alaska"
"Fox Islands, Aleutian Islands, Alaska"
"south of Java, Indonesia"
"Santiago Del Estero, Argentina"
"Tonga"
"Izu Islands, Japan region"
"Vanuatu"
"Andaman Islands, India region"
"southern East Pacific Rise"
"off the coast of northern Peru"
"off the coast of Los Lagos, Chile"
"Santa Cruz Islands"
"off the coast of Los Lagos, Chile"
"Balleny Islands region"
"Bismarck Sea"
"Taiwan"
"Vanuatu"
"Santiago Del Estero, Argentina"
"Myanmar"
"south of Panama"
"east of the Kuril Islands"
"Hindu Kush region, Afghanistan"
"Fiji region"
"western Iran"
"Andreanof Islands, Aleutian Islands, Alaska"
"Easter Island region"
"Kermadec Islands region"
"southern Italy"
"northern Xinjiang, China"
"northeast of Taiwan"
"Antofagasta, Chile"
"near the north coast of New Guinea, Papua New Guinea"
"Colombia"
"near the north coast of New Guinea, Papua New Guinea"
"south of Panama"
"Cayman Islands region"
"Hindu Kush region, Afghanistan"
"Taiwan region"
"Ryukyu Islands, Japan"
"Volcano Islands, Japan region"
"New Britain region, Papua New Guinea"
"Santa Cruz Islands"
"Fiji region"
"northern Qinghai, China"
"Guerrero, Mexico"
"Kepulauan Barat Daya, Indonesia"
"Guerrero, Mexico"
"Kuril Islands"
"Scotia Sea"
"Tonga"
"near the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"Hokkaido, Japan region"
"Haiti region"
"near the coast of northern Peru"
"near the east coast of Honshu, Japan"
"Ionian Sea"
"offshore Los Lagos, Chile"
"near the north coast of New Guinea, Papua New Guinea"
"Albania"
"northern Mid-Atlantic Ridge"
"south of Panama"
"Mindanao, Philippines"
"Maug Islands region, Northern Mariana Islands"
"Vanuatu region"
"Bio-Bio, Chile"
"Myanmar"
"Hokkaido, Japan region"
"Araucania, Chile"
"near the north coast of Papua, Indonesia"
"Tonga region"
"Croatia"
"Dominican Republic"
"Croatia-Bosnia and Herzegovina border region"
"Fiji region"
"near the south coast of western Honshu, Japan"
"Rat Islands, Aleutian Islands, Alaska"
"North Island of New Zealand"
"offshore Bio-Bio, Chile"
"off the coast of Los Lagos, Chile"
"Kuril Islands"
"Tonga region"
"western Indian-Antarctic Ridge"
"southern Qinghai, China"
"southern Mid-Atlantic Ridge"
"Halmahera, Indonesia"
"Kyushu, Japan"
"Hokkaido, Japan region"
"Kepulauan Batu, Indonesia"
"Bismarck Sea"
"Kepulauan Talaud, Indonesia"
"Scotia Sea"
"offshore Bio-Bio, Chile"
"south of the Kermadec Islands"
"South Sandwich Islands region"
"Taiwan region"
"South Sandwich Islands region"
"South Sandwich Islands region"
"Peru-Brazil border region"
"near the west coast of Honshu, Japan"
"Peru-Brazil border region"
"Hokkaido, Japan region"
"Fox Islands, Aleutian Islands, Alaska"
"South Sandwich Islands region"
"Solomon Islands"
"Peru-Ecuador border region"
"Vanuatu"
"Vanuatu"
"southeast of the Ryukyu Islands, Japan"
"Loyalty Islands, New Caledonia"
"Loyalty Islands, New Caledonia"
"New Britain region, Papua New Guinea"
"Vanuatu"
"Yunnan, China"
"southern Iran"
"western Xizang"
"Ethiopia"
"near the coast of Nicaragua"
"Dodecanese Islands, Greece"
"south of the Fiji Islands"
"Near Islands, Aleutian Islands, Alaska"
"Bio-Bio, Chile"
"Bougainville region, Papua New Guinea"
"Kermadec Islands region"
"east of the Kuril Islands"
"southern Xinjiang, China"
"Taiwan region"
"Araucania, Chile"
"southern Xinjiang, China"
"southern Xinjiang, China"
"Andreanof Islands, Aleutian Islands, Alaska"
"south of Tonga"
"Auckland Islands, New Zealand region"
"Flores region, Indonesia"
"New Ireland region, Papua New Guinea"
"Golfe de Tadjoura, Djibouti"
"Kuril Islands"
"Mid-Indian Ridge"
"Kermadec Islands region"
"Kyushu, Japan"
"off the east coast of Honshu, Japan"
"Kuril Islands"
"Tonga"
"Kuril Islands"
"Kuril Islands"
"Kermadec Islands region"
"Kermadec Islands region"
"Bougainville region, Papua New Guinea"
"Taiwan region"
"south of Alaska"
"southeast of the Loyalty Islands"
"southeast of the Loyalty Islands"
"Santa Cruz Islands"
"near the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"near the east coast of Honshu, Japan"
"Fox Islands, Aleutian Islands, Alaska"
"Kuril Islands"
"southeast of the Loyalty Islands"
"southeast of the Loyalty Islands"
"Andreanof Islands, Aleutian Islands, Alaska"
"off the coast of Aisen, Chile"
"Molucca Sea"
"Bonin Islands, Japan region"
"north of Macquarie Island"
"Vanuatu"
"Tarapaca, Chile"
"Panama-Costa Rica border region"
"central Mongolia"
"Antofagasta, Chile"
"Vancouver Island, Canada region"
"south of the Fiji Islands"
"New Ireland region, Papua New Guinea"
"south of the Fiji Islands"
"offshore Los Lagos, Chile"
"Southwest Indian Ridge"
"near the coast of northern Peru"
"Fox Islands, Aleutian Islands, Alaska"
"Antofagasta, Chile"
"western Sichuan, China"
"South Sandwich Islands region"
"Kermadec Islands region"
"near the east coast of the Kamchatka Peninsula, Russia"
"Santa Cruz Islands region"
"off the coast of Araucania, Chile"
"Antofagasta, Chile"
"off the east coast of Honshu, Japan"
"Solomon Islands"
"Andreanof Islands, Aleutian Islands, Alaska"
"near the east coast of the Kamchatka Peninsula, Russia"
"North Korea"
"Kepulauan Tanimbar, Indonesia"
"Maug Islands region, Northern Mariana Islands"
"Burundi region"
"Burundi region"
"near the west coast of Colombia"
"Kuril Islands"
"Bougainville region, Papua New Guinea"
"Vanuatu"
"Vanuatu"
"Samoa Islands region"
"Tristan da Cunha region"
"offshore Los Lagos, Chile"
"south of the Fiji Islands"
"off the coast of Northern California"
"Rat Islands, Aleutian Islands, Alaska"
"New Britain region, Papua New Guinea"
"near the east coast of Honshu, Japan"
"off the coast of Aisen, Chile"
"near the east coast of the Kamchatka Peninsula, Russia"
"Bouvet Island region"
"Nias region, Indonesia"
"Haida Gwaii Region, Canada"
"Andreanof Islands, Aleutian Islands, Alaska"
"Isla Chiloe, Los Lagos, Chile"
"Kermadec Islands, New Zealand"
"Araucania, Chile"
"Araucania, Chile"
"south of the Kermadec Islands"
"near the north coast of Papua, Indonesia"
"southeast of Easter Island"
"D'Entrecasteaux Islands region"
"D'Entrecasteaux Islands region"
"Tonga"
"Vanuatu"
"Aisen, Chile"
"New Britain region, Papua New Guinea"
"Aisen, Chile"
"Araucania, Chile"
"Barbuda, Leeward Islands"
"Bio-Bio, Chile"
"Albania"
"off the coast of Aisen, Chile"
"South Island of New Zealand"
"Golfo de Corcovado, Los Lagos, Chile"
"Bio-Bio, Chile"
"near the coast of Aisen, Chile"
"Araucania, Chile"
"offshore Los Lagos, Chile"
"Los Lagos, Chile"
"offshore Araucania, Chile"
"Bio-Bio, Chile"
"Araucania, Chile"
"Bio-Bio, Chile"
"Bio-Bio, Chile"
"Bio-Bio, Chile"
"Bio-Bio, Chile"
"Norfolk Island, Australia region"
"Mauritius - Reunion region"
"Ryukyu Islands, Japan"
"Seram, Indonesia"
"Vanuatu"
"Vanuatu"
"Panama"
"Vanuatu"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"Balleny Islands region"
"off the east coast of Honshu, Japan"
"off the east coast of Honshu, Japan"
"New Britain region, Papua New Guinea"
"Gulf of California"
"Halmahera, Indonesia"
"Halmahera, Indonesia"
"Solomon Islands"
"Seram, Indonesia"
"Drake Passage"
"off the east coast of Honshu, Japan"
"New Ireland region, Papua New Guinea"
"Shikoku, Japan"
"Fiji region"
"Fiji region"
"Banda Sea"
"Banda Sea"
"Seram, Indonesia"
"near the coast of southern Peru"
"South Sandwich Islands region"
"Djibouti"
"Bouvet Island region"
"off the east coast of the Kamchatka Peninsula, Russia"
"near the east coast of the Kamchatka Peninsula, Russia"
"Gulf of Aden"
"Kermadec Islands region"
"Kermadec Islands region"
"South Sandwich Islands region"
