Year	Mo	Dy	Country	Water Height
1982	2	24	INDONESIA	0.1
1982	3	11	INDONESIA	0.1
1982	3	21	JAPAN	1.3
1982	7	23	JAPAN	0.4
1982	12	19	TONGA	0.2
1982	12	25	INDONESIA	
1982	12	28	JAPAN	0.19
1983	1	17	GREECE	
1983	3	12	INDONESIA	3
1983	3	18	PAPUA NEW GUINEA	0.3
1983	5	26	JAPAN	14.93
1983	6	9	JAPAN	0.6
1983	6	21	JAPAN	1
1983	8	6	GREECE	
1983	8	17	RUSSIA	0.1
1983	8	17	PHILIPPINES	0.1
1983	8	17	INDONESIA	
1983	8	18	NORWAY	7
1983	10	4	CHILE	0.2
1983	11	30	UK TERRITORY	1.5
1984	1	8	INDONESIA	0.1
1984	2	11	GREECE	
1984	3	24	RUSSIA	0.2
1984	6	13	JAPAN	0.5
1984	8	6	JAPAN	0.2
1984	9	18	JAPAN	0.13
1984	12	28	RUSSIA	0.2
1985	3	3	CHILE	3.5
1985	3	16	GUADELOUPE (FRENCH TERRITORY)	0.12
1985	4	13	INDONESIA	2
1985	7	3	PAPUA NEW GUINEA	1.3
1985	9	19	MEXICO	3
1985	9	21	MEXICO	1.2
1986	5	7	USA	0.9
1986	5	17	USA	
1986	10	20	NEW ZEALAND	0.22
1986	11	14	TAIWAN	0.3
1987	2	6	JAPAN	0.1
1987	2	8	PAPUA NEW GUINEA	1.5
1987	2	21	NORWAY	3
1987	3	5	CHILE	0.2
1987	3	18	JAPAN	0.04
1987	3	24	JAPAN	0.16
1987	5	20	NEW ZEALAND	
1987	6	18	SOLOMON ISLANDS	0.1
1987	7	6	VANUATU	0.1
1987	10	6	TONGA	0.25
1987	10	12	PAPUA NEW GUINEA	0.1
1987	10	16	PAPUA NEW GUINEA	0.1
1987	11	17	USA	0.06
1987	11	26	INDONESIA	0.1
1987	11	30	USA	0.43
1988	2	5	CHILE	0.1
1988	3	6	USA	0.19
1988	4	20	ITALY	2
1988	4	30	USA	
1988	6	24	PHILIPPINES	1.03
1988	7	5	PAPUA NEW GUINEA	0.1
1988	8	6	BANGLADESH	
1988	8	10	SOLOMON ISLANDS	0.09
1989	5	23	AUSTRALIA	0.1
1989	6	26	USA	0.29
1989	9	4	USA	0.1
1989	10	18	USA	1
1989	10	29	JAPAN	0.11
1989	10	29	ALGERIA	
1989	11	1	USA TERRITORY	0.1
1989	11	1	JAPAN	0.9
1990	2	8	PHILIPPINES	2.1
1990	2	20	JAPAN	0.16
1990	3	25	COSTA RICA	1
1990	4	5	USA TERRITORY	1.8
1990	5		PHILIPPINES	5
1990	9	23	JAPAN	0.2
1990	12	13	ITALY	0.1
1990	12	13	TAIWAN	0.04
1991	1	4	GREECE	
1991	2	9	SOLOMON ISLANDS	0.1
1991	2	16	RUSSIA	0.1
1991	2	21	USA	0.15
1991	4	22	COSTA RICA	3
1991	5	7	GREECE	0.5
1991	10	14	SOLOMON ISLANDS	0.15
1991	12	22	RUSSIA	0.52
1992	1	5	CHINA	0.8
1992	4	25	USA	1.8
1992	5	17	PHILIPPINES	6
1992	5	27	SOLOMON ISLANDS	0.1
1992	7	3	USA	3
1992	7	18	JAPAN	0.3
1992	8	11	JAPAN	
1992	9	2	NICARAGUA	9.9
1992	12	12	INDONESIA	26.2
1993	2	7	JAPAN	0.5
1993	3	12	WALLIS AND FUTUNA (FRENCH TERRITORY)	
1993	6	8	RUSSIA	0.1
1993	6	18	NEW ZEALAND	
1993	7	12	JAPAN	32
1993	8	7	JAPAN	0.16
1993	8	8	USA TERRITORY	2.4
1993	11	13	RUSSIA	0.05
1994	1	4	USA	1.5
1994	1	17	USA	0.1
1994	1	21	INDONESIA	2
1994	2	15	INDONESIA	
1994	4	8	JAPAN	0.11
1994	4	28	NORWAY	4
1994	5	24	TAIWAN	0.02
1994	6	2	INDONESIA	13.9
1994	6	3	INDONESIA	3.7
1994	6	4	INDONESIA	
1994	6	5	INDONESIA	3
1994	9	1	USA	0.07
1994	9	19	PAPUA NEW GUINEA	1.2
1994	10	4	RUSSIA	10.4
1994	10	8	INDONESIA	3
1994	10	9	RUSSIA	0.2
1994	11	4	USA	9
1994	11	14	PHILIPPINES	7.3
1994	12	28	JAPAN	0.53
1995	1	16	JAPAN	0.34
1995	4	7	SAMOA	0.09
1995	4	21	PHILIPPINES	0.2
1995	4	21	PHILIPPINES	0.2
1995	5	13	GREECE	
1995	5	14	INDONESIA	4
1995	5	16	NEW CALEDONIA	0.5
1995	5	27	RUSSIA	0.1
1995	6	15	GREECE	1
1995	7	30	CHILE	3
1995	8	16	PAPUA NEW GUINEA	0.6
1995	9	14	MEXICO	0.4
1995	10	9	MEXICO	11
1995	10	18	JAPAN	2.59
1995	10	19	JAPAN	1.5
1995	11	1	CHILE	0.1
1995	11	22	EGYPT	0.1
1995	12	3	RUSSIA	1.1
1996	1	1	INDONESIA	3.43
1996	1	1	GREECE	2
1996	1	2	RUSSIA	30
1996	2	17	INDONESIA	7.7
1996	2	21	PERU	5.1
1996	2	25	MEXICO	0.1
1996	4	24	SWITZERLAND	0.5
1996	6	10	USA	0.51
1996	6	10	USA	0.18
1996	9	4	JAPAN	0.3
1996	9	5	CHILE	0.09
1996	9	5	TAIWAN	0.11
1996	10	18	JAPAN	0.2
1996	10	19	JAPAN	0.55
1996	11	12	PERU	0.4
1996	12	2	JAPAN	0.2
1997	4	10	HONDURAS	15
1997	4	18	AUSTRALIA	
1997	4	21	SOLOMON ISLANDS	3
1997	7	9	VENEZUELA	
1997	9	30	JAPAN	0.03
1997	10	14	TONGA	0.1
1997	12	5	RUSSIA	8
1997	12	14	RUSSIA	8
1997	12	26	MONTSERRAT	3
1998	3	19	NORWAY	6
1998	3	25	ANTARCTICA	0.01
1998	5	3	TAIWAN	0.13
1998	7	17	PAPUA NEW GUINEA	15.03
1998	11	29	INDONESIA	2.75
1999	1	20	MONTSERRAT	2
1999	8	17	TURKEY	2.52
1999	9	13	FRENCH POLYNESIA	8
1999	11	26	VANUATU	6.6
2000	1	26	PHILIPPINES	20
2000	4	5	GREECE	0.5
2000	5	4	INDONESIA	6
2000	6	18	AUSTRALIA	0.3
2000	7	1	JAPAN	0.07
2000	7	15	JAPAN	0.07
2000	7	30	JAPAN	0.14
2000	11	4	USA	4.6
2000	11	16	PAPUA NEW GUINEA	3
2000	11	21	GREENLAND	50
2001	1	13	EL SALVADOR	0.25
2001	6	23	PERU	8.8
2001	10	12	CANADA	0.11
2001	12	18	TAIWAN	0.12
2002	1	2	VANUATU	3
2002	3	5	PHILIPPINES	3
2002	3	26	JAPAN	0.05
2002	3	31	TAIWAN	0.2
2002	9	8	PAPUA NEW GUINEA	5.5
2002	9	13	INDIA	
2002	10	10	INDONESIA	5
2002	11	4	NEW ZEALAND	
2002	12	30	ITALY	10.9
2003	1	20	SOLOMON ISLANDS	2
2003	1	22	MEXICO	0.61
2003	5	21	ALGERIA	3
2003	5	27	ALGERIA	0.08
2003	7	12	MONTSERRAT	4
2003	8	21	NEW ZEALAND	0.15
2003	9	25	JAPAN	4.4
2003	10	31	JAPAN	0.32
2003	11	17	USA	0.33
2003	12	27	NEW CALEDONIA	0.15
2004	1	28	INDONESIA	
2004	2	11	JORDAN	1
2004	9	5	JAPAN	0.63
2004	9	5	JAPAN	0.93
2004	11	2	CANADA	0.06
2004	11	11	INDONESIA	
2004	11	21	GUADELOUPE (FRENCH TERRITORY)	0.7
2004	11	22	NEW ZEALAND	
2004	11	28	JAPAN	0.12
2004	12	23	AUSTRALIA	0.3
2004	12	26	INDONESIA	50.9
2005	1	19	JAPAN	0.39
2005	2	14	GUADELOUPE (FRENCH TERRITORY)	
2005	3	28	INDONESIA	4.2
2005	4	10	INDONESIA	0.4
2005	6	15	USA	0.1
2005	8	16	JAPAN	0.05
2005	11	14	JAPAN	0.42
2005	12	9	CANADA	0.08
2006	1	16	USA	9
2006	3	14	INDONESIA	3.5
2006	5	3	TONGA	0.27
2006	5	20	MONTSERRAT	1
2006	7	17	INDONESIA	20.9
2006	9	28	SAMOA	0.08
2006	10	15	USA	0.1
2006	11	15	RUSSIA	21.9
2006	12	26	CHINA	0.07
2007	1	13	RUSSIA	0.4
2007	3	25	VANUATU	0.08
2007	3	25	JAPAN	0.1
2007	4	1	SOLOMON ISLANDS	12.1
2007	4	21	CHILE	10
2007	5	7	BULGARIA	3
2007	7	16	JAPAN	
2007	8	2	RUSSIA	0.19
2007	8	2	USA	0.03
2007	8	15	PERU	10.05
2007	9	2	SOLOMON ISLANDS	0.05
2007	9	12	INDONESIA	5
2007	9	30	NEW ZEALAND	0.25
2007	11	14	CHILE	0.28
2007	11	29	MARTINIQUE (FRENCH TERRITORY)	
2007	12	3	CANADA	2
2007	12	9	KERMADEC ISLANDS	0.03
2008	2	25	INDONESIA	0.12
2008	4	9	NEW CALEDONIA	0.16
2008	4	28	VANUATU	0.03
2008	5	12	CHINA	
2008	7	19	JAPAN	0.2
2008	8	8	USA	0.19
2008	8	26	ATLANTIC OCEAN	
2008	9	11	JAPAN	0.09
2008	10	28	USA	2
2008	11	16	INDONESIA	0.13
2009	1	3	INDONESIA	0.39
2009	1	3	INDONESIA	
2009	1	15	RUSSIA	0.11
2009	2	11	INDONESIA	0.13
2009	3	19	TONGA	0.15
2009	5	28	HONDURAS	4
2009	7	15	NEW ZEALAND	0.47
2009	8	10	INDIA	0.01
2009	8	10	JAPAN	0.6
2009	8	16	INDONESIA	0.18
2009	8	25	USA	
2009	9	29	SAMOA	22.35
2009	9	30	INDONESIA	0.27
2009	10	7	VANUATU	0.31
2010	1	3	SOLOMON ISLANDS	0.01
2010	1	3	SOLOMON ISLANDS	7.52
2010	1	5	SOLOMON ISLANDS	0.03
2010	1	12	HAITI	3.21
2010	2	26	JAPAN	0.1
2010	2	27	CHILE	29
2010	3	11	CHILE	0.14
2010	4	6	INDONESIA	0.44
2010	4	13	PERU	23
2010	4	13	COOK ISLANDS	
2010	5	29	USA TERRITORY	0.04
2010	6	12	INDIA	0.03
2010	8	10	VANUATU	0.23
2010	8	13	USA TERRITORY	0.07
2010	10	25	INDONESIA	16.9
2010	12	21	JAPAN	0.13
2010	12	25	VANUATU	0.15
2011	1	9	VANUATU	0.03
2011	2	11	CHILE	0.15
2011	2	21	NEW ZEALAND	
2011	3	9	JAPAN	0.6
2011	3	11	JAPAN	38.9
2011	4	7	JAPAN	0.08
2011	6	24	USA	0.1
2011	6	27	UK	0.4
2011	7	6	NEW ZEALAND	1.2
2011	7	10	JAPAN	0.09
2011	7	30	NORWAY	
2011	8	6	NORWAY	
2011	8	20	VANUATU	0.18
2011	8	20	VANUATU	0.18
2011	9	2	USA	0.06
2011	10	21	NEW ZEALAND	0.14
2012	2	2	VANUATU	0.08
2012	3	14	JAPAN	0.2
2012	3	20	MEXICO	0.2
2012	4	11	INDONESIA	
2012	4	11	INDONESIA	
2012	4	14	VANUATU	
2012	7	15	GREENLAND	
2012	8	27	EL SALVADOR	6.3
2012	8	31	PHILIPPINES	0.15
2012	9	5	COSTA RICA	0.16
2012	10	28	CANADA	12.98
2012	11	7	GUATEMALA	0.35
2012	12	7	JAPAN	1
2012	12	28	CHINA	
2013	1	5	USA	1.5
2013	2	6	SOLOMON ISLANDS	11
2013	2	8	SOLOMON ISLANDS	
2013	4	19	RUSSIA	0.2
2013	6	13	USA	1.8
2013	7	21	NEW ZEALAND	0.07
2013	8	16	NEW ZEALAND	
2013	9	24	PAKISTAN	0.26
2013	10	25	JAPAN	0.4
2013	11	17	ANTARCTICA	0.15
2014	3	16	CHILE	
2014	4	1	CHILE	4.4
2014	4	3	CHILE	
2014	4	12	SOLOMON ISLANDS	
2014	4	13	SOLOMON ISLANDS	
2014	4	18	MEXICO	
2014	4	19	PAPUA NEW GUINEA	
2014	6	23	NEW ZEALAND	0.13
2014	6	23	USA	0.17
2014	7	11	JAPAN	0.2
2014	7	25	USA	0.08
2014	10	9	CHILE	
2014	10	14	EL SALVADOR	
2014	11	15	INDONESIA	0.09
2015	2	16	JAPAN	
2015	2	19	VANUATU	
2015	3	29	PAPUA NEW GUINEA	0.5
2015	5	2	JAPAN	0.5
2015	5	5	PAPUA NEW GUINEA	
2015	7	1	SCOTLAND	0.18
2015	7	10	SOLOMON ISLANDS	0.01
2015	7	18	SOLOMON ISLANDS	0.09
2015	7	27	USA	0.08
2015	9	16	CHILE	13.6
2015	10	18	USA	190
2015	11	11	CHILE	0.55
2015	11	13	JAPAN	0.3
2015	11	17	GREECE	0.15
2016	3	2	INDONESIA	0.21
2016	4	16	ECUADOR	0.14
2016	4	28	VANUATU	0.02
2016	8	12	NEW CALEDONIA	0.19
2016	8	19	UK TERRITORY	0.1
2016	9	1	NEW ZEALAND	0.21
2016	11	13	NEW ZEALAND	6.9
2016	11	21	JAPAN	
2016	11	24	NICARAGUA	0.08
2016	12	8	SOLOMON ISLANDS	0.43
2016	12	9	SOLOMON ISLANDS	0.05
2016	12	17	PAPUA NEW GUINEA	0.08
2016	12	25	CHILE	0.44
2017	1	3	FIJI	0.01
2017	1	22	PAPUA NEW GUINEA	0.04
2017	3	20	IRAN	
2017	4	24	CHILE	0.16
2017	4	28	PHILIPPINES	0.2
2017	5	1	USA	0.06
2017	5	29	NETHERLANDS	2
2017	6	12	GREECE	0.4
2017	6	17	GREENLAND	90
2017	7	17	RUSSIA	0.1
2017	7	19	COLOMBIA	8
2017	7	20	TURKEY	1.9
2017	9	8	MEXICO	2
2017	10	31	NEW CALEDONIA	0.13
